bioguideId,name,terms,state,party,birthYear,sponsoredLegislation_count,sponsoredLegislation_url,cosponsoredLegislation_count,cosponsoredLegislation_url,years_house,years_senate
M001153,"Murkowski, Lisa","{'item': [{'chamber': 'Senate', 'startYear': 2003}]}",Alaska,Republican,1957,1079.0,https://api.congress.gov/v3/member/M001153/sponsored-legislation,3158,https://api.congress.gov/v3/member/M001153/cosponsored-legislation,0,21
M001176,"Merkley, Jeff","{'item': [{'chamber': 'Senate', 'startYear': 2009}]}",Oregon,Democratic,1956,860.0,https://api.congress.gov/v3/member/M001176/sponsored-legislation,3882,https://api.congress.gov/v3/member/M001176/cosponsored-legislation,0,15
M000934,"Moran, Jerry","{'item': [{'chamber': 'House of Representatives', 'endYear': 2011, 'startYear': 1997}, {'chamber': 'Senate', 'startYear': 2011}]}",Kansas,Republican,1954,620.0,https://api.congress.gov/v3/member/M000934/sponsored-legislation,3414,https://api.congress.gov/v3/member/M000934/cosponsored-legislation,15,13
M000639,"Menendez, Robert","{'item': [{'chamber': 'House of Representatives', 'endYear': 2006, 'startYear': 1993}, {'chamber': 'Senate', 'startYear': 2006}]}",New Jersey,Democratic,1954,1934.0,https://api.congress.gov/v3/member/M000639/sponsored-legislation,5593,https://api.congress.gov/v3/member/M000639/cosponsored-legislation,14,18
M000133,"Markey, Edward J.","{'item': [{'chamber': 'House of Representatives', 'endYear': 2013, 'startYear': 1977}, {'chamber': 'Senate', 'startYear': 2013}]}",Massachusetts,Democratic,1946,1354.0,https://api.congress.gov/v3/member/M000133/sponsored-legislation,9392,https://api.congress.gov/v3/member/M000133/cosponsored-legislation,37,11
M000355,"McConnell, Mitch","{'item': [{'chamber': 'Senate', 'startYear': 1985}]}",Kentucky,Republican,1942,1274.0,https://api.congress.gov/v3/member/M000355/sponsored-legislation,2702,https://api.congress.gov/v3/member/M000355/cosponsored-legislation,0,39
K000393,"Kennedy, John","{'item': [{'chamber': 'Senate', 'startYear': 2017}]}",Louisiana,Republican,1951,465.0,https://api.congress.gov/v3/member/K000393/sponsored-legislation,808,https://api.congress.gov/v3/member/K000393/cosponsored-legislation,0,7
K000383,"King, Angus S., Jr.","{'item': [{'chamber': 'Senate', 'startYear': 2013}]}",Maine,Independent,1944,290.0,https://api.congress.gov/v3/member/K000383/sponsored-legislation,2375,https://api.congress.gov/v3/member/K000383/cosponsored-legislation,0,11
K000367,"Klobuchar, Amy","{'item': [{'chamber': 'Senate', 'startYear': 2007}]}",Minnesota,Democratic,1960,1151.0,https://api.congress.gov/v3/member/K000367/sponsored-legislation,4559,https://api.congress.gov/v3/member/K000367/cosponsored-legislation,0,17
L000577,"Lee, Mike","{'item': [{'chamber': 'Senate', 'startYear': 2011}]}",Utah,Republican,1971,1513.0,https://api.congress.gov/v3/member/L000577/sponsored-legislation,1383,https://api.congress.gov/v3/member/L000577/cosponsored-legislation,0,13
