Legislation Number,URL,Congress,Sponsor,Number of Cosponsors,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor
S. 1266,https://www.congress.gov/bill/115th-congress/senate-bill/1266,115th Congress (2017-2018),"Inhofe, James M. [Sen.-R-OK]",3,"Lankford, James [Sen.-R-OK]","Nelson, Bill [Sen.-D-FL]","Shaheen, Jeanne [Sen.-D-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1223,https://www.congress.gov/bill/115th-congress/senate-bill/1223,115th Congress (2017-2018),"Merkley, Jeff [Sen.-D-OR]",1,"Wyden, Ron [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1208,https://www.congress.gov/bill/115th-congress/senate-bill/1208,115th Congress (2017-2018),"Menendez, Robert [Sen.-D-NJ]",2,"Gillibrand, Kirsten E. [Sen.-D-NY]","Perdue, David [Sen.-R-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1182,https://www.congress.gov/bill/115th-congress/senate-bill/1182,115th Congress (2017-2018),"Young, Todd [Sen.-R-IN]",76,"Heller, Dean [Sen.-R-NV]","Hassan, Margaret Wood [Sen.-D-NH]","Kennedy, John [Sen.-R-LA]","Cochran, Thad [Sen.-R-MS]","Wicker, Roger F. [Sen.-R-MS]","Enzi, Michael B. [Sen.-R-WY]","Hirono, Mazie K. [Sen.-D-HI]","Portman, Rob [Sen.-R-OH]","Reed, Jack [Sen.-D-RI]","Harris, Kamala D. [Sen.-D-CA]","Grassley, Chuck [Sen.-R-IA]","Cardin, Benjamin L. [Sen.-D-MD]","Barrasso, John [Sen.-R-WY]","Udall, Tom [Sen.-D-NM]","Strange, Luther [Sen.-R-AL]","Manchin, Joe, III [Sen.-D-WV]","Thune, John [Sen.-R-SD]","Blunt, Roy [Sen.-R-MO]","Kaine, Tim [Sen.-D-VA]","Heinrich, Martin [Sen.-D-NM]","Cantwell, Maria [Sen.-D-WA]","Brown, Sherrod [Sen.-D-OH]","Nelson, Bill [Sen.-D-FL]","Graham, Lindsey [Sen.-R-SC]","Roberts, Pat [Sen.-R-KS]","Murray, Patty [Sen.-D-WA]","Durbin, Richard J. [Sen.-D-IL]","Cornyn, John [Sen.-R-TX]","Franken, Al [Sen.-D-MN]","Carper, Thomas R. [Sen.-D-DE]","Peters, Gary C. [Sen.-D-MI]","Feinstein, Dianne [Sen.-D-CA]","Heitkamp, Heidi [Sen.-D-ND]","Blumenthal, Richard [Sen.-D-CT]","Fischer, Deb [Sen.-R-NE]","Rounds, Mike [Sen.-R-SD]","Donnelly, Joe [Sen.-D-IN]","Tillis, Thomas [Sen.-R-NC]","McCaskill, Claire [Sen.-D-MO]","Markey, Edward J. [Sen.-D-MA]","Gillibrand, Kirsten E. [Sen.-D-NY]","Murkowski, Lisa [Sen.-R-AK]","Isakson, Johnny [Sen.-R-GA]","Sanders, Bernard [Sen.-I-VT]","Klobuchar, Amy [Sen.-D-MN]","Tester, Jon [Sen.-D-MT]","Crapo, Mike [Sen.-R-ID]","Boozman, John [Sen.-R-AR]","Moran, Jerry [Sen.-R-KS]","Daines, Steve [Sen.-R-MT]","Hoeven, John [Sen.-R-ND]","Menendez, Robert [Sen.-D-NJ]","Warren, Elizabeth [Sen.-D-MA]","Inhofe, James M. [Sen.-R-OK]","Collins, Susan M. [Sen.-R-ME]","Merkley, Jeff [Sen.-D-OR]","Cortez Masto, Catherine [Sen.-D-NV]","Flake, Jeff [Sen.-R-AZ]","Booker, Cory A. [Sen.-D-NJ]","Casey, Robert P., Jr. [Sen.-D-PA]","Van Hollen, Chris [Sen.-D-MD]","Scott, Tim [Sen.-R-SC]","Duckworth, Tammy [Sen.-D-IL]","Risch, James E. [Sen.-R-ID]","Warner, Mark R. [Sen.-D-VA]","Shaheen, Jeanne [Sen.-D-NH]","Rubio, Marco [Sen.-R-FL]","Stabenow, Debbie [Sen.-D-MI]","Coons, Christopher A. [Sen.-D-DE]","Gardner, Cory [Sen.-R-CO]","Baldwin, Tammy [Sen.-D-WI]","King, Angus S., Jr. [Sen.-I-ME]","Capito, Shelley Moore [Sen.-R-WV]","Cassidy, Bill [Sen.-R-LA]","Cotton, Tom [Sen.-R-AR]","Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,
S. 1165,https://www.congress.gov/bill/115th-congress/senate-bill/1165,115th Congress (2017-2018),"Manchin, Joe, III [Sen.-D-WV]",1,"Capito, Shelley Moore [Sen.-R-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1158,https://www.congress.gov/bill/115th-congress/senate-bill/1158,115th Congress (2017-2018),"Cardin, Benjamin L. [Sen.-D-MD]",34,"Tillis, Thomas [Sen.-R-NC]","Reed, Jack [Sen.-D-RI]","Boozman, John [Sen.-R-AR]","Schumer, Charles E. [Sen.-D-NY]","Klobuchar, Amy [Sen.-D-MN]","Whitehouse, Sheldon [Sen.-D-RI]","Shaheen, Jeanne [Sen.-D-NH]","Franken, Al [Sen.-D-MN]","Coons, Christopher A. [Sen.-D-DE]","Bennet, Michael F. [Sen.-D-CO]","Van Hollen, Chris [Sen.-D-MD]","Brown, Sherrod [Sen.-D-OH]","Merkley, Jeff [Sen.-D-OR]","Durbin, Richard J. [Sen.-D-IL]","Murkowski, Lisa [Sen.-R-AK]","Warren, Elizabeth [Sen.-D-MA]","Menendez, Robert [Sen.-D-NJ]","Young, Todd [Sen.-R-IN]","Wyden, Ron [Sen.-D-OR]","Baldwin, Tammy [Sen.-D-WI]","Harris, Kamala D. [Sen.-D-CA]","Stabenow, Debbie [Sen.-D-MI]","Murphy, Christopher [Sen.-D-CT]","King, Angus S., Jr. [Sen.-I-ME]","Rubio, Marco [Sen.-R-FL]","Markey, Edward J. [Sen.-D-MA]","Feinstein, Dianne [Sen.-D-CA]","Nelson, Bill [Sen.-D-FL]","Casey, Robert P., Jr. [Sen.-D-PA]","Collins, Susan M. [Sen.-R-ME]","Gillibrand, Kirsten E. [Sen.-D-NY]","Booker, Cory A. [Sen.-D-NJ]","Blumenthal, Richard [Sen.-D-CT]","Peters, Gary C. [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1153,https://www.congress.gov/bill/115th-congress/senate-bill/1153,115th Congress (2017-2018),"Baldwin, Tammy [Sen.-D-WI]",1,"Moran, Jerry [Sen.-R-KS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1142,https://www.congress.gov/bill/115th-congress/senate-bill/1142,115th Congress (2017-2018),"Cassidy, Bill [Sen.-R-LA]",1,"Kennedy, John [Sen.-R-LA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1141,https://www.congress.gov/bill/115th-congress/senate-bill/1141,115th Congress (2017-2018),"Shaheen, Jeanne [Sen.-D-NH]",4,"Capito, Shelley Moore [Sen.-R-WV]","Coons, Christopher A. [Sen.-D-DE]","Rubio, Marco [Sen.-R-FL]","Cardin, Benjamin L. [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1116,https://www.congress.gov/bill/115th-congress/senate-bill/1116,115th Congress (2017-2018),"Hoeven, John [Sen.-R-ND]",1,"McCain, John [Sen.-R-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1107,https://www.congress.gov/bill/115th-congress/senate-bill/1107,115th Congress (2017-2018),"Coons, Christopher A. [Sen.-D-DE]",7,"Burr, Richard [Sen.-R-NC]","Hatch, Orrin G. [Sen.-R-UT]","Carper, Thomas R. [Sen.-D-DE]","Nelson, Bill [Sen.-D-FL]","Rubio, Marco [Sen.-R-FL]","Stabenow, Debbie [Sen.-D-MI]","Cortez Masto, Catherine [Sen.-D-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1103,https://www.congress.gov/bill/115th-congress/senate-bill/1103,115th Congress (2017-2018),"Johnson, Ron [Sen.-R-WI]",1,"McCaskill, Claire [Sen.-D-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1099,https://www.congress.gov/bill/115th-congress/senate-bill/1099,115th Congress (2017-2018),"Carper, Thomas R. [Sen.-D-DE]",4,"Grassley, Chuck [Sen.-R-IA]","Tester, Jon [Sen.-D-MT]","Duckworth, Tammy [Sen.-D-IL]","McCaskill, Claire [Sen.-D-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1094,https://www.congress.gov/bill/115th-congress/senate-bill/1094,115th Congress (2017-2018),"Rubio, Marco [Sen.-R-FL]",39,"Moran, Jerry [Sen.-R-KS]","Cornyn, John [Sen.-R-TX]","Blumenthal, Richard [Sen.-D-CT]","Blunt, Roy [Sen.-R-MO]","McCain, John [Sen.-R-AZ]","Nelson, Bill [Sen.-D-FL]","Hatch, Orrin G. [Sen.-R-UT]","Boozman, John [Sen.-R-AR]","Kennedy, John [Sen.-R-LA]","Wicker, Roger F. [Sen.-R-MS]","Duckworth, Tammy [Sen.-D-IL]","Donnelly, Joe [Sen.-D-IN]","Isakson, Johnny [Sen.-R-GA]","Tester, Jon [Sen.-D-MT]","Heller, Dean [Sen.-R-NV]","Baldwin, Tammy [Sen.-D-WI]","Flake, Jeff [Sen.-R-AZ]","Inhofe, James M. [Sen.-R-OK]","Cotton, Tom [Sen.-R-AR]","Capito, Shelley Moore [Sen.-R-WV]","Cochran, Thad [Sen.-R-MS]","Sullivan, Dan [Sen.-R-AK]","Cassidy, Bill [Sen.-R-LA]","Perdue, David [Sen.-R-GA]","Daines, Steve [Sen.-R-MT]","Rounds, Mike [Sen.-R-SD]","Enzi, Michael B. [Sen.-R-WY]","Collins, Susan M. [Sen.-R-ME]","King, Angus S., Jr. [Sen.-I-ME]","Shaheen, Jeanne [Sen.-D-NH]","Grassley, Chuck [Sen.-R-IA]","Roberts, Pat [Sen.-R-KS]","Thune, John [Sen.-R-SD]","Hoeven, John [Sen.-R-ND]","Paul, Rand [Sen.-R-KY]","Toomey, Patrick [Sen.-R-PA]","Ernst, Joni [Sen.-R-IA]","Gardner, Cory [Sen.-R-CO]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1092,https://www.congress.gov/bill/115th-congress/senate-bill/1092,115th Congress (2017-2018),"Enzi, Michael B. [Sen.-R-WY]",10,"Risch, James E. [Sen.-R-ID]","Lee, Mike [Sen.-R-UT]","Baldwin, Tammy [Sen.-D-WI]","Merkley, Jeff [Sen.-D-OR]","Manchin, Joe, III [Sen.-D-WV]","Wyden, Ron [Sen.-D-OR]","Crapo, Mike [Sen.-R-ID]","Daines, Steve [Sen.-R-MT]","Heinrich, Martin [Sen.-D-NM]","Udall, Tom [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1091,https://www.congress.gov/bill/115th-congress/senate-bill/1091,115th Congress (2017-2018),"Collins, Susan M. [Sen.-R-ME]",16,"Shaheen, Jeanne [Sen.-D-NH]","Alexander, Lamar [Sen.-R-TN]","Nelson, Bill [Sen.-D-FL]","Heitkamp, Heidi [Sen.-D-ND]","Smith, Tina [Sen.-D-MN]","Capito, Shelley Moore [Sen.-R-WV]","Baldwin, Tammy [Sen.-D-WI]","Manchin, Joe, III [Sen.-D-WV]","Hassan, Margaret Wood [Sen.-D-NH]","King, Angus S., Jr. [Sen.-I-ME]","Casey, Robert P., Jr. [Sen.-D-PA]","Brown, Sherrod [Sen.-D-OH]","Warren, Elizabeth [Sen.-D-MA]","Murkowski, Lisa [Sen.-R-AK]","Young, Todd [Sen.-R-IN]","Scott, Tim [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1088,https://www.congress.gov/bill/115th-congress/senate-bill/1088,115th Congress (2017-2018),"McCaskill, Claire [Sen.-D-MO]",1,"Lankford, James [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1083,https://www.congress.gov/bill/115th-congress/senate-bill/1083,115th Congress (2017-2018),"Johnson, Ron [Sen.-R-WI]",2,"Grassley, Chuck [Sen.-R-IA]","McCaskill, Claire [Sen.-D-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1057,https://www.congress.gov/bill/115th-congress/senate-bill/1057,115th Congress (2017-2018),"Nelson, Bill [Sen.-D-FL]",7,"Portman, Rob [Sen.-R-OH]","Peters, Gary C. [Sen.-D-MI]","Brown, Sherrod [Sen.-D-OH]","Murkowski, Lisa [Sen.-R-AK]","Baldwin, Tammy [Sen.-D-WI]","Schumer, Charles E. [Sen.-D-NY]","Sullivan, Dan [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1052,https://www.congress.gov/bill/115th-congress/senate-bill/1052,115th Congress (2017-2018),"Wicker, Roger F. [Sen.-R-MS]",1,"Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1050,https://www.congress.gov/bill/115th-congress/senate-bill/1050,115th Congress (2017-2018),"Duckworth, Tammy [Sen.-D-IL]",68,"Merkley, Jeff [Sen.-D-OR]","Schumer, Charles E. [Sen.-D-NY]","Hassan, Margaret Wood [Sen.-D-NH]","Roberts, Pat [Sen.-R-KS]","Boozman, John [Sen.-R-AR]","Murkowski, Lisa [Sen.-R-AK]","King, Angus S., Jr. [Sen.-I-ME]","Booker, Cory A. [Sen.-D-NJ]","Casey, Robert P., Jr. [Sen.-D-PA]","Hyde-Smith, Cindy [Sen.-R-MS]","Schatz, Brian [Sen.-D-HI]","Durbin, Richard J. [Sen.-D-IL]","Stabenow, Debbie [Sen.-D-MI]","Cortez Masto, Catherine [Sen.-D-NV]","Leahy, Patrick J. [Sen.-D-VT]","Isakson, Johnny [Sen.-R-GA]","Crapo, Mike [Sen.-R-ID]","Cochran, Thad [Sen.-R-MS]","Hirono, Mazie K. [Sen.-D-HI]","Feinstein, Dianne [Sen.-D-CA]","Risch, James E. [Sen.-R-ID]","Baldwin, Tammy [Sen.-D-WI]","Wicker, Roger F. [Sen.-R-MS]","Klobuchar, Amy [Sen.-D-MN]","Wyden, Ron [Sen.-D-OR]","Reed, Jack [Sen.-D-RI]","Tester, Jon [Sen.-D-MT]","Shaheen, Jeanne [Sen.-D-NH]","Brown, Sherrod [Sen.-D-OH]","Kaine, Tim [Sen.-D-VA]","Peters, Gary C. [Sen.-D-MI]","Murray, Patty [Sen.-D-WA]","Warner, Mark R. [Sen.-D-VA]","Gardner, Cory [Sen.-R-CO]","Inhofe, James M. [Sen.-R-OK]","Franken, Al [Sen.-D-MN]","Cantwell, Maria [Sen.-D-WA]","Cassidy, Bill [Sen.-R-LA]","Collins, Susan M. [Sen.-R-ME]","Toomey, Patrick [Sen.-R-PA]","Coons, Christopher A. [Sen.-D-DE]","Udall, Tom [Sen.-D-NM]","Heitkamp, Heidi [Sen.-D-ND]","McCaskill, Claire [Sen.-D-MO]","Rubio, Marco [Sen.-R-FL]","Donnelly, Joe [Sen.-D-IN]","Hatch, Orrin G. [Sen.-R-UT]","Nelson, Bill [Sen.-D-FL]","Heller, Dean [Sen.-R-NV]","Heinrich, Martin [Sen.-D-NM]","Kennedy, John [Sen.-R-LA]","Cardin, Benjamin L. [Sen.-D-MD]","Blumenthal, Richard [Sen.-D-CT]","Warren, Elizabeth [Sen.-D-MA]","Young, Todd [Sen.-R-IN]","Markey, Edward J. [Sen.-D-MA]","Sanders, Bernard [Sen.-I-VT]","Harris, Kamala D. [Sen.-D-CA]","Carper, Thomas R. [Sen.-D-DE]","Menendez, Robert [Sen.-D-NJ]","Bennet, Michael F. [Sen.-D-CO]","Gillibrand, Kirsten E. [Sen.-D-NY]","Van Hollen, Chris [Sen.-D-MD]","Whitehouse, Sheldon [Sen.-D-RI]","Murphy, Christopher [Sen.-D-CT]","Jones, Doug [Sen.-D-AL]","Smith, Tina [Sen.-D-MN]","Ernst, Joni [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1028,https://www.congress.gov/bill/115th-congress/senate-bill/1028,115th Congress (2017-2018),"Collins, Susan M. [Sen.-R-ME]",15,"Donnelly, Joe [Sen.-D-IN]","Klobuchar, Amy [Sen.-D-MN]","Capito, Shelley Moore [Sen.-R-WV]","Baldwin, Tammy [Sen.-D-WI]","Nelson, Bill [Sen.-D-FL]","Murkowski, Lisa [Sen.-R-AK]","Tester, Jon [Sen.-D-MT]","Shaheen, Jeanne [Sen.-D-NH]","Bennet, Michael F. [Sen.-D-CO]","Franken, Al [Sen.-D-MN]","Coons, Christopher A. [Sen.-D-DE]","Stabenow, Debbie [Sen.-D-MI]","Warren, Elizabeth [Sen.-D-MA]","Merkley, Jeff [Sen.-D-OR]","King, Angus S., Jr. [Sen.-I-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1023,https://www.congress.gov/bill/115th-congress/senate-bill/1023,115th Congress (2017-2018),"Portman, Rob [Sen.-R-OH]",9,"Merkley, Jeff [Sen.-D-OR]","Markey, Edward J. [Sen.-D-MA]","Carper, Thomas R. [Sen.-D-DE]","Duckworth, Tammy [Sen.-D-IL]","Burr, Richard [Sen.-R-NC]","Whitehouse, Sheldon [Sen.-D-RI]","Blumenthal, Richard [Sen.-D-CT]","Schatz, Brian [Sen.-D-HI]","Udall, Tom [Sen.-D-NM]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1015,https://www.congress.gov/bill/115th-congress/senate-bill/1015,115th Congress (2017-2018),"Hatch, Orrin G. [Sen.-R-UT]",7,"Donnelly, Joe [Sen.-D-IN]","Shaheen, Jeanne [Sen.-D-NH]","Udall, Tom [Sen.-D-NM]","Heller, Dean [Sen.-R-NV]","Schatz, Brian [Sen.-D-HI]","Sullivan, Dan [Sen.-R-AK]","Baldwin, Tammy [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 995,https://www.congress.gov/bill/115th-congress/senate-bill/995,115th Congress (2017-2018),"Cantwell, Maria [Sen.-D-WA]",1,"Murray, Patty [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 994,https://www.congress.gov/bill/115th-congress/senate-bill/994,115th Congress (2017-2018),"Hatch, Orrin G. [Sen.-R-UT]",3,"Graham, Lindsey [Sen.-R-SC]","Feinstein, Dianne [Sen.-D-CA]","Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 946,https://www.congress.gov/bill/115th-congress/senate-bill/946,115th Congress (2017-2018),"Flake, Jeff [Sen.-R-AZ]",18,"Lee, Mike [Sen.-R-UT]","McCain, John [Sen.-R-AZ]","Tillis, Thomas [Sen.-R-NC]","Donnelly, Joe [Sen.-D-IN]","Coons, Christopher A. [Sen.-D-DE]","Baldwin, Tammy [Sen.-D-WI]","Shaheen, Jeanne [Sen.-D-NH]","Hassan, Margaret Wood [Sen.-D-NH]","Crapo, Mike [Sen.-R-ID]","King, Angus S., Jr. [Sen.-I-ME]","Warren, Elizabeth [Sen.-D-MA]","Peters, Gary C. [Sen.-D-MI]","Daines, Steve [Sen.-R-MT]","Manchin, Joe, III [Sen.-D-WV]","Tester, Jon [Sen.-D-MT]","Murkowski, Lisa [Sen.-R-AK]","Cornyn, John [Sen.-R-TX]","Hatch, Orrin G. [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 943,https://www.congress.gov/bill/115th-congress/senate-bill/943,115th Congress (2017-2018),"Heitkamp, Heidi [Sen.-D-ND]",4,"Warren, Elizabeth [Sen.-D-MA]","Lankford, James [Sen.-R-OK]","Baldwin, Tammy [Sen.-D-WI]","Daines, Steve [Sen.-R-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 931,https://www.congress.gov/bill/115th-congress/senate-bill/931,115th Congress (2017-2018),"Gardner, Cory [Sen.-R-CO]",1,"Bennet, Michael F. [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 925,https://www.congress.gov/bill/115th-congress/senate-bill/925,115th Congress (2017-2018),"Ernst, Joni [Sen.-R-IA]",12,"Shaheen, Jeanne [Sen.-D-NH]","Kennedy, John [Sen.-R-LA]","Boozman, John [Sen.-R-AR]","Rounds, Mike [Sen.-R-SD]","Tester, Jon [Sen.-D-MT]","Grassley, Chuck [Sen.-R-IA]","Booker, Cory A. [Sen.-D-NJ]","Udall, Tom [Sen.-D-NM]","Hassan, Margaret Wood [Sen.-D-NH]","Hatch, Orrin G. [Sen.-R-UT]","Hirono, Mazie K. [Sen.-D-HI]","Tillis, Thomas [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 920,https://www.congress.gov/bill/115th-congress/senate-bill/920,115th Congress (2017-2018),"Shaheen, Jeanne [Sen.-D-NH]",2,"Murray, Patty [Sen.-D-WA]","Collins, Susan M. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 917,https://www.congress.gov/bill/115th-congress/senate-bill/917,115th Congress (2017-2018),"Blunt, Roy [Sen.-R-MO]",1,"McCaskill, Claire [Sen.-D-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 916,https://www.congress.gov/bill/115th-congress/senate-bill/916,115th Congress (2017-2018),"Cassidy, Bill [Sen.-R-LA]",13,"Whitehouse, Sheldon [Sen.-D-RI]","King, Angus S., Jr. [Sen.-I-ME]","Klobuchar, Amy [Sen.-D-MN]","Blunt, Roy [Sen.-R-MO]","Murkowski, Lisa [Sen.-R-AK]","Blumenthal, Richard [Sen.-D-CT]","Bennet, Michael F. [Sen.-D-CO]","Franken, Al [Sen.-D-MN]","Alexander, Lamar [Sen.-R-TN]","Hoeven, John [Sen.-R-ND]","Heitkamp, Heidi [Sen.-D-ND]","Murray, Patty [Sen.-D-WA]","Boozman, John [Sen.-R-AR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 906,https://www.congress.gov/bill/115th-congress/senate-bill/906,115th Congress (2017-2018),"McCaskill, Claire [Sen.-D-MO]",1,"Daines, Steve [Sen.-R-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
