Legislation Number,URL,Congress,Sponsor,Number of Cosponsors,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor
S. 4104,https://www.congress.gov/bill/116th-congress/senate-bill/4104,116th Congress (2019-2020),"Paul, Rand [Sen.-R-KY]",2,"Kennedy, John [Sen.-R-LA]","Collins, Susan M. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4091,https://www.congress.gov/bill/116th-congress/senate-bill/4091,116th Congress (2019-2020),"Grassley, Chuck [Sen.-R-IA]",1,"Wyden, Ron [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4079,https://www.congress.gov/bill/116th-congress/senate-bill/4079,116th Congress (2019-2020),"Rubio, Marco [Sen.-R-FL]",1,"Scott, Rick [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4075,https://www.congress.gov/bill/116th-congress/senate-bill/4075,116th Congress (2019-2020),"Capito, Shelley Moore [Sen.-R-WV]",9,"Manchin, Joe, III [Sen.-D-WV]","Cardin, Benjamin L. [Sen.-D-MD]","Daines, Steve [Sen.-R-MT]","Tester, Jon [Sen.-D-MT]","Wicker, Roger F. [Sen.-R-MS]","Kaine, Tim [Sen.-D-VA]","Smith, Tina [Sen.-D-MN]","Merkley, Jeff [Sen.-D-OR]","Ernst, Joni [Sen.-R-IA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4072,https://www.congress.gov/bill/116th-congress/senate-bill/4072,116th Congress (2019-2020),"Merkley, Jeff [Sen.-D-OR]",1,"Wyden, Ron [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4065,https://www.congress.gov/bill/116th-congress/senate-bill/4065,116th Congress (2019-2020),"Lee, Mike [Sen.-R-UT]",1,"King, Angus S., Jr. [Sen.-I-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4054,https://www.congress.gov/bill/116th-congress/senate-bill/4054,116th Congress (2019-2020),"Roberts, Pat [Sen.-R-KS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 4049,https://www.congress.gov/bill/116th-congress/senate-bill/4049,116th Congress (2019-2020),"Inhofe, James M. [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3989,https://www.congress.gov/bill/116th-congress/senate-bill/3989,116th Congress (2019-2020),"Toomey, Patrick [Sen.-R-PA]",1,"Casey, Robert P., Jr. [Sen.-D-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 3952,https://www.congress.gov/bill/116th-congress/senate-bill/3952,116th Congress (2019-2020),"Van Hollen, Chris [Sen.-D-MD]",3,"Jones, Doug [Sen.-D-AL]","Tillis, Thomas [Sen.-R-NC]","Sasse, Ben [Sen.-R-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
